card_id,playerClass,type,name,set,text,cost,attack,health,rarity,collectible,flavor,race,how_to_earn,how_to_earn_golden,targeting_arrow_text,faction,durability
AT_019,WARLOCK,MINION,Dreadsteed,TGT,"<b>Deathrattle:</b> At the end
 of the turn, summon a Dreadsteed.",4,1,1,EPIC,true,"Crescendo himself summoned this steed, riding it to victory in the Grand Tournament.  Wherever he rides, an army of riders ride behind him, supporting the legendary champion.",DEMON,,,,,
AT_020,WARLOCK,MINION,Fearsome Doomguard,TGT,,7,6,8,COMMON,true,"They were originally called Cuddleguards, but they were not inspiring the proper amount of fear.",DEMON,,,,,
AT_021,WARLOCK,MINION,Tiny Knight of Evil,TGT,"Whenever you discard a card, gain +2/+1.",2,3,2,RARE,true,"""No, no, no. I asked for a tiny JESTER of evil.""",DEMON,,,,,
AT_022,WARLOCK,SPELL,Fist of Jaraxxus,TGT,"When you play or discard this, deal $4 damage to a random enemy.",4,,,RARE,true,* Not actually Jaraxxus' fist.,,,,,,
AT_023,WARLOCK,MINION,Void Crusher,TGT,<b>Inspire:</b> Destroy a random minion for each player.,6,5,4,RARE,true,"We like to call him ""Wesley"".",DEMON,,,,,
AT_024,WARLOCK,SPELL,Demonfuse,TGT,Give a Demon +3/+3.,2,,,COMMON,true,Very dangerous when attached to a demonbomb.,,,,,,
AT_025,WARLOCK,SPELL,Dark Bargain,TGT,Destroy 2 random enemy minions. Discard 2 random cards.,4,,,EPIC,true,A prime example of lose-lose negotiating.,,,,,,
AT_026,WARLOCK,MINION,Wrathguard,TGT,"Whenever this minion takes damage, also deal that amount to your hero.",2,4,3,COMMON,true,"After playing against 5 Annoy-O-Trons, any normal guard will become a Wrathguard.",DEMON,,,,,
AT_027,WARLOCK,MINION,Wilfred Fizzlebang,TGT,Cards you draw from your Hero Power cost (0).,6,4,4,LEGENDARY,true,"He can summon anything, even a FEARSOME DOOMGUARD*.
*He's pretty sure this is going to work out.",,,,,,
AT_028,ROGUE,MINION,Shado-Pan Rider,TGT,<b>Combo:</b> Gain +4 Attack.,5,3,7,COMMON,true,"He needed a break after that business in the Vale of Eternal Blossoms. Naturally, he chose to spend his vacation in an icy snowscape killing monsters.",,,,,,
AT_029,ROGUE,MINION,Buccaneer,TGT,"Whenever you equip a weapon, give it +1 Attack.",1,2,1,COMMON,true,The best part of buccaneering is the pants.,PIRATE,,,,,
AT_030,ROGUE,MINION,Undercity Valiant,TGT,<b>Combo:</b> Deal 1 damage.,2,3,2,COMMON,true,Almost went to play for Stormwind before signing with Undercity.,UNDEAD,,,Deal 1 damage.,,
AT_031,ROGUE,MINION,Cutpurse,TGT,"Whenever this minion attacks a hero, add the Coin to your hand.",2,2,2,RARE,true,He has a giant collection of purses now.  One for every outfit!,UNDEAD,,,,,
AT_032,ROGUE,MINION,Shady Dealer,TGT,"<b>Battlecry:</b> If you have a Pirate, gain +1/+1.",3,4,3,RARE,true,I have great deal for you... for 4 damage to your face!,,,,,,
AT_033,ROGUE,SPELL,Burgle,TGT,"Get 3 random
cards <i>(from your
opponent's class)</i>.",3,,,RARE,true,Yoink!,,,,,,
AT_034,ROGUE,WEAPON,Poisoned Blade,TGT,"Your Hero Power gives this +1 Attack instead
of replacing it.",2,1,3,EPIC,true,How much more poisoned can a blade get?  The answer is a lot.  A lot more poisoned.,,,,,,0
AT_035,ROGUE,SPELL,Beneath the Grounds,TGT,"Shuffle 3 Ambushes into your opponent's deck. When drawn, you summon a 4/4 Nerubian.",3,,,EPIC,true,Can you hold these eggs for just a second?  I promise they're not full of giant enraged undead spider things.,,,,,,
AT_036,ROGUE,MINION,Anub'arak,TGT,"<b>Deathrattle:</b> Summon a 4/4 Nerubian with ""<b>Deathrattle:</b> 
Summon Anub'arak.""",8,8,4,LEGENDARY,true,"Was actually a pretty nice guy before, you know, the whole Lich King thing.",UNDEAD,,,,,
AT_037,DRUID,SPELL,Living Roots,TGT,<b>Choose One -</b> Deal $2 damage; or Summon two 1/1 Saplings.,1,,,COMMON,true,2 out of 2 saplings recommend that you summon the saplings.,,,,,,
AT_038,DRUID,MINION,Darnassus Aspirant,TGT,"<b>Battlecry:</b> Gain an empty Mana Crystal.
<b>Deathrattle:</b> Lose a Mana Crystal.",2,2,3,RARE,true,"She loves mana crystals, she hates mana crystals.   So fickle!",,,,,,
AT_039,DRUID,MINION,Savage Combatant,TGT,<b>Inspire:</b> Give your hero +2 Attack this turn.,4,5,4,RARE,true,Maybe if you whistle a tune it will soothe him.  Yeah...  Try that.,BEAST,,,,,
AT_040,DRUID,MINION,Wildwalker,TGT,<b>Battlecry:</b> Give a friendly Beast +3 Health.,4,4,4,COMMON,true,She was born to be something.  She is just not quite sure what yet...,,,,,,
AT_041,DRUID,MINION,Knight of the Wild,TGT,Costs (1) less for each Beast you've summoned this game.,7,6,6,RARE,true,He gets a discount on the tournament entry fee because he is his own horse.,,,,,,
AT_042,DRUID,MINION,Druid of the Saber,TGT,"[x]<b>Choose One -</b> Transform
into a 2/1 with <b>Charge</b>;
or a 3/2 with <b>Stealth</b>.",2,2,1,COMMON,true,"That's saberTEETH, not like curved pirate blades.  That's a different kind of druid.  Druid of the Curved Pirate Blades.",,,,,,
AT_043,DRUID,SPELL,Astral Communion,TGT,Gain 10 Mana Crystals. Discard your hand.,4,,,EPIC,true,Hey!  Moon!  Can I have some mana crystals?,,,,,,
AT_044,DRUID,SPELL,Mulch,TGT,"Destroy a minion.
Add a random minion to your opponent's hand.",3,,,EPIC,true,Is this a noun or a verb?  We will never know.,,,,,,
AT_045,DRUID,MINION,Aviana,TGT,Your minions cost (1).,9,5,5,LEGENDARY,true,"Call her ""Tweety"".  She'll find it real funny.  I PROMISE.",,,,,,
AT_046,SHAMAN,MINION,Tuskarr Totemic,TGT,<b>Battlecry:</b> Summon a random basic Totem.,2,3,2,COMMON,true,Turns out the tuskarr aren't real choosy about their totems.,,,,,,
AT_047,SHAMAN,MINION,Draenei Totemcarver,TGT,<b>Battlecry:</b> Gain +1/+1 for each friendly Totem.,4,4,5,RARE,true,It's nice to find a real craftsman in this day and age of mass-produced totems.,DRAENEI,,,,,
AT_048,SHAMAN,SPELL,Healing Wave,TGT,"Restore #8 Health. Reveal a minion in each deck. If yours costs more, restore #16 instead.",3,,,RARE,true,"Favored by shaman who study the art of restoration and healing, this spell would feel smug, if it had feelings.",,,,,,
AT_049,SHAMAN,MINION,Thunder Bluff Valiant,TGT,"<b>Battlecry and Inspire:</b>
Give your Totems
+2 Attack.",5,3,6,RARE,true,"Allowing totems to attack is not cheating.  I mean, there isn't anything in the rule books about it.",,,,,,
AT_050,SHAMAN,WEAPON,Charged Hammer,TGT,<b>Deathrattle:</b> Your Hero Power becomes 'Deal 2 damage.',3,2,3,EPIC,true,You can only pick it up if you are worthy.,,,,,,0
AT_051,SHAMAN,SPELL,Elemental Destruction,TGT,Deal $4-$5 damage to all minions. <b>Overload:</b> (2),3,,,EPIC,true,"I'm not a shaman or anything, but isn't Elemental Destruction the opposite of what they want to do?",,,,,,
AT_052,SHAMAN,MINION,Totem Golem,TGT,<b>Overload:</b> (1),2,3,4,COMMON,true,What happens when you glue a buncha totems together.,TOTEM,,,,,
AT_053,SHAMAN,SPELL,Ancestral Knowledge,TGT,Draw 2 cards. <b>Overload:</b> (1),2,,,COMMON,true,MOMMMMMYYYYYYYYY!!!,,,,,,
AT_054,SHAMAN,MINION,The Mistcaller,TGT,<b>Battlecry:</b> Give all minions in your hand and deck +1/+1.,6,4,4,LEGENDARY,true,"Calling the mist doesn't sound all that great.  ""Ooooh, it is slightly damp now!""",UNDEAD,,,,,
AT_055,PRIEST,SPELL,Flash Heal,TGT,Restore #5 Health.,1,,,COMMON,true,Flash!  Ahhhhhhh~,,,,,,
AT_056,HUNTER,SPELL,Powershot,TGT,Deal $2 damage to a minion and the minions next to it.,3,,,RARE,true,pow POW pow,,,,,,
AT_057,HUNTER,MINION,Stablemaster,TGT,<b>Battlecry:</b> Give a friendly Beast <b>Immune</b> this turn.,3,4,2,EPIC,true,"Takes way better care of her pets than her brother, Unstablemaster.",,,,Grant <b>Immune</b> this turn.,,
AT_058,HUNTER,MINION,King's Elekk,TGT,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, draw it.",2,3,2,COMMON,true,Elekk jousting is AWESOME.,BEAST,,,,,
AT_059,HUNTER,MINION,Brave Archer,TGT,"<b>Inspire:</b> If your hand is empty, deal 2 damage to the enemy hero.",1,2,1,COMMON,true,"This is a ""bearly"" concealed reference.",,,,,,
AT_060,HUNTER,SPELL,Bear Trap,TGT,"<b>Secret:</b> After your hero is attacked, summon a 3/3 Bear with <b>Taunt</b>.",2,,,COMMON,true,"You'll never guess what's in that conveniently bear-sized, bear-smelling box.",,,,,,
AT_061,HUNTER,SPELL,Lock and Load,TGT,"Each time you cast a spell this turn, get a random Hunter card.",0,,,EPIC,true,"Rexxar narrowed his eyes, grabbed his machine gun, and said: ""It's go time.  Lock and load.""
This card pays homage to that special moment.",,,,,,
AT_062,HUNTER,SPELL,Ball of Spiders,TGT,"Summon three 1/1 Webspinners
with ""<b>Deathrattle:</b> Get
a random Beast.""",3,,,RARE,true,"""THEY'RE EVERYWHERE GET THEM OFF!!!"" - Everyone",,,,,,
AT_063,HUNTER,MINION,Acidmaw,TGT,"Whenever an enemy minion takes damage, destroy it.",3,4,2,LEGENDARY,true,"With the help of his trusty sidekick Dreadscale, the giant jormungar Acidmaw is ready to face any knight!",BEAST,,,,,
AT_063t,HUNTER,MINION,Dreadscale,TGT,"At the end of your turn, deal 1 damage to all enemies.",3,4,2,LEGENDARY,true,Let's be clear about this:  ACIDMAW is the sidekick.,BEAST,,,,,
AT_064,WARRIOR,SPELL,Bash,TGT,"Deal $3 damage.
Gain 3 Armor.",2,,,COMMON,true,You might think bashing doesn't take a lot of practice.  It doesn't.,,,,,,
AT_065,WARRIOR,WEAPON,King's Defender,TGT,"<b>Battlecry:</b> If you have a minion with <b>Taunt</b>, gain +1 Durability.",3,3,2,RARE,true,"""King's Attacker"" is a shield.  Funny, huh?",,,,,,0
AT_066,WARRIOR,MINION,Orgrimmar Aspirant,TGT,<b>Inspire:</b> Give your weapon +1 Attack.,3,3,3,COMMON,true,"""Four out of three orcs struggle with math."" - Angry Zurge",,,,,,
AT_067,WARRIOR,MINION,Magnataur Alpha,TGT,"Also damages the minions next to whomever
he attacks.",4,5,3,EPIC,true,Playing him also gets you into the Magnataur Beta.,,,,,,
AT_068,WARRIOR,SPELL,Bolster,TGT,Give your <b>Taunt</b> minions +2/+2.,2,,,COMMON,true,The best offense is a good defense.,,,,,,
AT_069,WARRIOR,MINION,Sparring Partner,TGT,"<b>Taunt</b>
<b>Battlecry:</b> Give a
minion <b>Taunt</b>.",2,3,2,RARE,true,"Come at me, bro.",,,,Grant <b>Taunt</b>.,,
AT_070,NEUTRAL,MINION,Skycap'n Kragg,TGT,"<b>Charrrrrge</b>
Costs (1) less for each friendly Pirate.",7,4,6,LEGENDARY,true,What's more boss than riding a parrot with a jawbone for a shoulderpad while wielding a giant hook-lance-thing and wearing a pirate hat?  NOTHING.,PIRATE,,,,,
AT_071,WARRIOR,MINION,Alexstrasza's Champion,TGT,"<b>Battlecry:</b> If you're holding a Dragon, gain +1 Attack and <b>Charge</b>.",2,2,3,RARE,true,"""Put more spikes on her.  No, more spikes.  What part of 'more spikes' do you not understand?  MORE SPIKES!"" - Alexstrasza",,,,,,
AT_072,WARRIOR,MINION,Varian Wrynn,TGT,"<b>Battlecry:</b> Draw 3 cards.
Put any minions you drew directly into the battlefield.",10,7,7,LEGENDARY,true,"Leader of the Alliance!  Father of Anduin!  Also he likes to play Arena, and he averages 12 wins.",,,,,,
AT_073,PALADIN,SPELL,Competitive Spirit,TGT,"<b>Secret:</b> When your turn starts, give your minions +1/+1.",1,,,RARE,true,Competition can be an inspiration to improve oneself.  Or kill all the competitors.,,,,,,
AT_074,PALADIN,SPELL,Seal of Champions,TGT,"Give a minion
+3 Attack and <b>Divine Shield</b>.",3,,,COMMON,true,"""Arf! Arf! Arf!"" - Seal of Champions",,,,,,
AT_075,PALADIN,MINION,Warhorse Trainer,TGT,Your Silver Hand Recruits have +2 Attack and <b>Taunt</b>.,3,3,4,COMMON,true,He doesn't even get Sundays off.  Every day he's hostling.,,,,,,
AT_076,PALADIN,MINION,Murloc Knight,TGT,<b>Inspire:</b> Summon a random Murloc.,4,3,4,COMMON,true,Hee hee!  Look at his cute little feet.,MURLOC,,,,,
AT_077,PALADIN,WEAPON,Argent Lance,TGT,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, +1 Durability.",2,2,2,RARE,true,"The stripes make it look like a candy cane, but we recommend against licking it.",,,,,,0
AT_078,PALADIN,SPELL,Enter the Coliseum,TGT,Destroy all minions except each player's highest Attack minion.,3,,,EPIC,true,You have to get past the vendors first.  So many are lost to shopping...,,,,,,
AT_079,PALADIN,MINION,Mysterious Challenger,TGT,<b>Battlecry:</b> Put one of each <b>Secret</b> from your deck into the battlefield.,5,5,5,EPIC,true,"He may sound surly and antisocial, but he's actually just really shy.",,,,,,
AT_080,NEUTRAL,MINION,Garrison Commander,TGT,You can use your Hero Power twice a turn.,2,2,3,EPIC,true,"He'll never admit it, but he pushes you hard because he really cares about you.",,,,,,
AT_081,PALADIN,MINION,Eadric the Pure,TGT,"<b>Battlecry:</b> Change all enemy minions'
Attack to 1.",7,3,7,LEGENDARY,true,Nobody rocks a monocle like Eadric.,,,,,,
AT_082,NEUTRAL,MINION,Lowly Squire,TGT,<b>Inspire:</b> Gain +1 Attack.,1,1,2,COMMON,true,But not the lowliest!,,,,,,
AT_083,NEUTRAL,MINION,Dragonhawk Rider,TGT,"<b>Inspire:</b> Gain <b>Windfury</b>
this turn.",3,3,3,COMMON,true,Check it out.  You can do barrel rolls on this thing.,,,,,,
AT_084,NEUTRAL,MINION,Lance Carrier,TGT,<b>Battlecry:</b> Give a friendly minion +2 Attack.,2,1,2,COMMON,true,"Lance Carrier is an obscure entry level position in orcish armies.  A mystery, since orcs don't generally use lances.",,,,Give +2 Attack.,,
AT_085,NEUTRAL,MINION,Maiden of the Lake,TGT,Your Hero Power costs (1).,4,2,6,COMMON,true,Not a good basis for a system of government.,,,,,,
AT_086,NEUTRAL,MINION,Saboteur,TGT,<b>Battlecry:</b> Your opponent's Hero Power costs (5) more next turn.,3,4,3,RARE,true,Listen all y'all it's a saboteur!,,,,,,
AT_087,NEUTRAL,MINION,Argent Horserider,TGT,"<b>Charge</b>
<b>Divine Shield</b>",3,2,1,COMMON,true,His horse's name is Betsy.,,,,,,
AT_088,NEUTRAL,MINION,Mogor's Champion,TGT,50% chance to attack the wrong enemy.,6,8,5,RARE,true,This champion has learned from the best.  Except for his target selection.,,,,,,
AT_089,NEUTRAL,MINION,Boneguard Lieutenant,TGT,<b>Inspire:</b> Gain +1 Health.,2,3,2,COMMON,true,"Underneath all that impressive armor, he's just skin and bones.  Okay, maybe just bones.",UNDEAD,,,,,
AT_090,NEUTRAL,MINION,Mukla's Champion,TGT,<b>Inspire:</b> Give your other minions +1/+1.,5,5,3,COMMON,true,"An elegant gorilla, for a more civilized age.",BEAST,,,,,
AT_091,NEUTRAL,MINION,Tournament Medic,TGT,<b>Inspire:</b> Restore #2 Health to your hero.,4,1,8,COMMON,true,The medic tournament is less entertaining than the Grand Tournament.,,,,,,
AT_092,NEUTRAL,MINION,Ice Rager,TGT,,3,5,2,COMMON,true,He's a lot cooler than Magma Rager.,ELEMENTAL,,,,,
AT_093,NEUTRAL,MINION,Frigid Snobold,TGT,<b>Spell Damage +1</b>,4,2,6,COMMON,true,"Ironically, the natural enemy of the snobold is THE CANDLE.",,,,,,
AT_094,NEUTRAL,MINION,Flame Juggler,TGT,<b>Battlecry:</b> Deal 1 damage to a random enemy.,2,2,3,COMMON,true,"At first he liked juggling chain saws, but then he thought, ""Flames are better!  Because FIRE!""",DRAENEI,,,,,
AT_095,NEUTRAL,MINION,Silent Knight,TGT,"<b>Stealth</b>
<b>Divine Shield</b>",3,2,2,COMMON,true,He used to be a librarian.  Old habits die hard.,,,,,,
AT_096,NEUTRAL,MINION,Clockwork Knight,TGT,<b>Battlecry:</b> Give a friendly Mech +1/+1.,5,5,5,COMMON,true,It takes a lot to wind him up.,MECHANICAL,,,Give +1/+1.,,
AT_097,NEUTRAL,MINION,Tournament Attendee,TGT,<b>Taunt</b>,1,2,1,COMMON,true,He was so excited to get season tickets to this year's Grand Tournament.  He normally doesn't get them at first and has to buy them from Ogre scalpers.,,,,,,
AT_098,NEUTRAL,MINION,Sideshow Spelleater,TGT,<b>Battlecry:</b> Copy your opponent's Hero Power.,6,6,5,EPIC,true,Hey!  Let me try that...,,,,,,
AT_099,NEUTRAL,MINION,Kodorider,TGT,<b>Inspire:</b> Summon a 3/5 War Kodo.,6,3,5,EPIC,true,"Someone called her a Rhinorider, and she's NOT HAPPY.",,,,,,
AT_100,NEUTRAL,MINION,Silver Hand Regent,TGT,<b>Inspire:</b> Summon a 1/1 Silver Hand Recruit.,3,3,3,COMMON,true,The Silver Hand is the best paladin organization.  The Argent Crusaders are super jealous.,,,,,,
AT_101,NEUTRAL,MINION,Pit Fighter,TGT,,5,5,6,COMMON,true,What did the pits ever do to you?,,,,,,
AT_102,NEUTRAL,MINION,Captured Jormungar,TGT,,7,5,9,COMMON,true,"You can keep him, but you have to promise to feed him and clean out his tank every day!",BEAST,,,,,
AT_103,NEUTRAL,MINION,North Sea Kraken,TGT,<b>Battlecry:</b> Deal 4 damage.,9,9,7,COMMON,true,You have no idea how tired this guy is of being released.,BEAST,,,Deal 4 damage.,,
AT_104,PALADIN,MINION,Tuskarr Jouster,TGT,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, restore #7 Health to your hero.",5,5,5,RARE,true,Just could not be talked out of using his turtle for the joust...,,,,,,
AT_105,NEUTRAL,MINION,Injured Kvaldir,TGT,<b>Battlecry:</b> Deal 3 damage to this minion.,1,2,4,RARE,true,Don't worry.  With a little skin cream he's going to clear right up.,UNDEAD,,,,,
AT_106,NEUTRAL,MINION,Light's Champion,TGT,<b>Battlecry:</b> <b>Silence</b> a Demon.,3,4,3,RARE,true,"When there's something strange (say, a gibbering demon) in your neighborhood, who are you going to call?",,,,<b>Silence</b> a Demon.,,
AT_108,NEUTRAL,MINION,Armored Warhorse,TGT,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, gain <b>Charge</b>.",4,5,3,RARE,true,Yep.  It's a horse... wearing armor... going to war.,BEAST,,,,,
AT_109,NEUTRAL,MINION,Argent Watchman,TGT,"Can't attack.
<b>Inspire:</b> Can attack as normal this turn.",2,2,4,RARE,true,Who argent watches the Argent Watchman?,,,,,,
AT_110,NEUTRAL,MINION,Coliseum Manager,TGT,<b>Inspire:</b> Return this minion to your hand.,3,2,5,RARE,true,Meets monthly with the gladiators to discuss career goals.,,,,,,
AT_111,NEUTRAL,MINION,Refreshment Vendor,TGT,<b>Battlecry:</b> Restore #4 Health to each hero.,4,3,5,COMMON,true,"Menu:  Funnel cakes, carrots, popcorn, jormungar steaks.  It's hard serving a diverse clientele.",,,,,,
AT_112,NEUTRAL,MINION,Master Jouster,TGT,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, gain <b>Taunt</b> and <b>Divine Shield</b>.",6,5,6,RARE,true,Needs just a few more ratings points to become Grandmaster Jouster.,,,,,,
AT_113,NEUTRAL,MINION,Recruiter,TGT,<b>Inspire:</b> Add a 2/2 Squire to your hand.,5,5,4,EPIC,true,Join the Argent Crusade!  We have attractive tabards and you get to carry really nice swords!,,,,,,
AT_114,NEUTRAL,MINION,Evil Heckler,TGT,<b>Taunt</b>,4,5,4,COMMON,true,"To be honest, heckling is not the most effective form of evil.",,,,,,
AT_115,NEUTRAL,MINION,Fencing Coach,TGT,"<b>Battlecry:</b> The next time you use your Hero Power, it costs (2) less.",3,2,2,RARE,true,"Good fencers make good neighbors, right?",,,,,,
AT_116,PRIEST,MINION,Wyrmrest Agent,TGT,"<b>Battlecry:</b> If you're holding a Dragon, gain +1 Attack and <b>Taunt</b>.",2,1,4,RARE,true,Keeping tabs on the Grand Tournament is priority #1 for the five mighty Dragonflights!,,,,,,
AT_117,NEUTRAL,MINION,Master of Ceremonies,TGT,"<b>Battlecry:</b> If you have a minion with <b>Spell Damage</b>, gain +2/+2.",3,4,2,EPIC,true,"Goes by ""MC ElfyElf"".",,,,,,
AT_118,NEUTRAL,MINION,Grand Crusader,TGT,<b>Battlecry:</b> Add a random Paladin card to your hand.,6,5,5,EPIC,true,"A veteran of a number of crusades, she is a force for light and goodness.  Her latest crusade is against goblin telemarketers.",,,,,,
AT_119,NEUTRAL,MINION,Kvaldir Raider,TGT,<b>Inspire:</b> Gain +2/+2.,5,4,4,COMMON,true,Coming soon... to a tuskarr village near you!,UNDEAD,,,,,
AT_120,NEUTRAL,MINION,Frost Giant,TGT,Costs (1) less for each time you used your Hero Power this game.,10,8,8,EPIC,true,Don't ask him about the beard.  JUST DON'T.,,,,,,
AT_121,NEUTRAL,MINION,Crowd Favorite,TGT,"Whenever you play a card with <b>Battlecry</b>, gain +1/+1.",4,4,4,EPIC,true,The crowd ALWAYS yells lethal.,,,,,,
AT_122,NEUTRAL,MINION,Gormok the Impaler,TGT,"<b>Battlecry:</b> If you have at least 4 other minions, deal 4 damage.",4,4,4,LEGENDARY,true,Gormok has been giving impaling lessons in a small tent near the tournament grounds.  For only 25g you too could learn the fine art of impaling!,,,,Deal 4 damage.,,
AT_123,NEUTRAL,MINION,Chillmaw,TGT,"[x]<b>Taunt</b>
<b>Deathrattle:</b> If you're holding
a Dragon, deal 3 damage
to all minions.",7,6,6,LEGENDARY,true,"Chillmaw keeps trying to ruin the Grand Tournament, and she would've done it too, if it weren't for those dang kids!",DRAGON,,,,,
AT_124,NEUTRAL,MINION,Bolf Ramshield,TGT,"Whenever your hero takes damage, this minion takes it instead.",6,3,9,LEGENDARY,true,"Bolf keeps coming in 2nd at the Grand Tournament.  It might be his year this year, if Lebron doesn't enter.",,,,,,
AT_125,NEUTRAL,MINION,Icehowl,TGT,"<b>Charge</b>
Can't attack heroes.",9,10,10,LEGENDARY,true,This massive yeti just closes his eyes and charges at the nearest target.  The nearest Target is a couple blocks away and has sick deals on skateboards.,,,,,,
AT_127,NEUTRAL,MINION,Nexus-Champion Saraad,TGT,<b>Inspire:</b> Add a random spell to your hand.,5,4,5,LEGENDARY,true,"The ethereals have their own jousting tournament, and Saraad is the reigning champion.  Also he won the ethereal hot dog eating contest.",,,,,,
AT_128,NEUTRAL,MINION,The Skeleton Knight,TGT,"<b>Deathrattle:</b> Reveal a minion in each deck. If yours costs more, return this to your hand.",6,7,4,LEGENDARY,true,Apparently it really was just a flesh wound.,UNDEAD,,,,,
AT_129,NEUTRAL,MINION,Fjola Lightbane,TGT,"Whenever <b>you</b> target this minion with a spell, gain <b><b>Divine Shield</b>.</b>",3,3,4,LEGENDARY,true,"LOVES being called ""the wonder twins"".",UNDEAD,,,,,
AT_130,WARRIOR,MINION,Sea Reaver,TGT,"When you draw this, deal 1 damage to your minions.",6,6,7,EPIC,true,A little better than Sea Minus Reaver.,UNDEAD,,,,,
AT_131,NEUTRAL,MINION,Eydis Darkbane,TGT,"Whenever <b>you</b> target this minion with a spell, deal 3 damage to a random enemy.",3,3,4,LEGENDARY,true,"HATES being called ""the wonder twins"".",UNDEAD,,,,,
AT_132,NEUTRAL,MINION,Justicar Trueheart,TGT,<b>Battlecry:</b> Replace your starting Hero Power with a better one.,5,6,4,LEGENDARY,true,It's like putting racing stripes and a giant spoiler on your hero power.,,,,,,
AT_133,NEUTRAL,MINION,Gadgetzan Jouster,TGT,"<b>Battlecry:</b> Reveal a minion in each deck. If yours costs more, gain +1/+1.",1,1,2,COMMON,true,It's not HER fault you didn't put a spinning saw blade on your horse.,,,,,,
